,level,position,salaries
0,Middle,Back-end Developer,15.000
1,Junior,Front-end Developer,8.000
2,Middle,Back-end Developer,15.000
3,Junior,Full Stack Developer,10.000
4,Junior,Back-end Developer,5.000
5,Middle,Mobile Application Developer,12.000
6,Junior,Back-end Developer,8.000
8,Middle,Full Stack Developer,7.000
9,Senior,Back-end Developer,15.000
10,Senior,Mobile Application Developer,24.000
11,Junior,Full Stack Developer,5.000
12,Senior,Front-end Developer,21.000
14,Senior,Full Stack Developer,21.000
15,Junior,Back-end Developer,16.000
17,Middle,Back-end Developer,11.000
18,Senior,Embedded Software Developer,25.000
19,Junior,Back-end Developer,6.000
20,Senior,Back-end Developer,22.000
23,Middle,Front-end Developer,10.000
24,Senior,Team / Tech Lead,20.000
25,Middle,Full Stack Developer,11.000
26,Senior,Full Stack Developer,21.000
27,Middle,Back-end Developer,16.000
28,Middle,Back-end Developer,17.000
30,Junior,Full Stack Developer,11.000
32,Senior,Team / Tech Lead,25.000
33,Senior,Team / Tech Lead,18.000
34,Junior,Full Stack Developer,8.000
35,Middle,Back-end Developer,25.000
36,Middle,Back-end Developer,21.000
37,Senior,Back-end Developer,20.000
38,Middle,Full Stack Developer,10.000
39,Junior,Front-end Developer,7.000
40,Middle,Back-end Developer,15.000
41,Senior,Team / Tech Lead,13.000
42,Senior,Front-end Developer,12.000
43,Junior,Front-end Developer,6.000
44,Junior,Back-end Developer,8.000
45,Senior,Back-end Developer,22.000
46,Senior,Back-end Developer,27.000
48,Junior,Full Stack Developer,6.000
49,Middle,Embedded Software Developer,13.000
50,Senior,Game Developer,30.000
51,Junior,Back-end Developer,10.000
52,Junior,Back-end Developer,6.000
53,Junior,Mobile Application Developer,13.000
54,Junior,Front-end Developer,5.000
55,Junior,Embedded Software Developer,13.000
56,Middle,Full Stack Developer,11.000
57,Middle,Data Scientist,18.000
58,Junior,Game Developer,9.000
59,Middle,Mobile Application Developer,12.000
60,Senior,Full Stack Developer,6.000
61,Middle,Front-end Developer,15.000
62,Junior,Back-end Developer,9.000
64,Senior,Back-end Developer,14.000
65,Middle,Back-end Developer,26.000
66,Senior,Back-end Developer,19.000
67,Senior,Mobile Application Developer,25.000
68,Middle,Back-end Developer,12.000
70,Middle,Team / Tech Lead,22.000
71,Middle,Full Stack Developer,9.000
72,Senior,Full Stack Developer,30.000
74,Senior,Front-end Developer,20.000
76,Senior,Back-end Developer,25.000
78,Senior,Team / Tech Lead,20.000
79,Senior,Back-end Developer,18.000
80,Middle,Back-end Developer,17.000
81,Junior,Game Developer,5.000
82,Senior,Software Architect,23.000
83,Middle,Back-end Developer,17.000
85,Junior,Back-end Developer,9.000
86,Middle,RPA Developer,16.000
87,Senior,Back-end Developer,19.000
88,Middle,Back-end Developer,9.000
89,Middle,Full Stack Developer,16.000
90,Junior,Mobile Application Developer,11.000
92,Middle,Back-end Developer,16.000
93,Junior,Full Stack Developer,5.000
94,Junior,Back-end Developer,6.000
95,Junior,Computer Vision Engineer,5.000
96,Middle,Full Stack Developer,20.000
97,Junior,Front-end Developer,15.000
98,Middle,Back-end Developer,19.000
99,Middle,Front-end Developer,28.000
101,Senior,Back-end Developer,22.000
102,Middle,Mobile Application Developer,10.000
103,Senior,Back-end Developer,20.000
104,Senior,Back-end Developer,26.000
106,Middle,Full Stack Developer,15.000
107,Senior,Full Stack Developer,17.000
108,Senior,Back-end Developer,27.000
109,Junior,Mobile Application Developer,8.000
110,Senior,Back-end Developer,16.000
111,Junior,QA / Test Automation Developer,6.000
112,Senior,Back-end Developer,15.000
113,Junior,Back-end Developer,12.000
114,Middle,Front-end Developer,12.000
115,Senior,Full Stack Developer,26.000
116,Middle,Full Stack Developer,16.000
117,Junior,Full Stack Developer,5.000
118,Middle,Game Developer,25.000
119,Senior,Full Stack Developer,6.000
120,Middle,Back-end Developer,14.000
121,Senior,Full Stack Developer,10.000
122,Senior,Back-end Developer,15.000
123,Junior,Full Stack Developer,7.000
124,Senior,Full Stack Developer,19.000
125,Middle,Full Stack Developer,11.000
126,Middle,Back-end Developer,27.000
127,Senior,Full Stack Developer,14.000
128,Middle,Full Stack Developer,13.000
129,Middle,Full Stack Developer,17.000
130,Middle,Full Stack Developer,21.000
131,Senior,Software Development Manager,39.000
132,Middle,Back-end Developer,15.000
133,Junior,Mobile Application Developer,9.000
134,Senior,Back-end Developer,18.000
135,Middle,Front-end Developer,20.000
136,Middle,Back-end Developer,9.000
137,Middle,Front-end Developer,12.000
138,Middle,QA / Test Automation Developer,16.000
139,Senior,Team / Tech Lead,29.000
140,Middle,Mobile Application Developer,15.000
141,Middle,Back-end Developer,25.000
142,Middle,Front-end Developer,20.000
143,Middle,Mobile Application Developer,15.000
144,Junior,Front-end Developer,7.000
145,Senior,Back-end Developer,24.000
146,Middle,Front-end Developer,20.000
147,Junior,QA / Test Automation Developer,10.000
148,Middle,DevOps Engineer,17.000
150,Middle,Front-end Developer,17.000
151,Junior,Front-end Developer,18.000
153,Middle,Full Stack Developer,13.000
154,Senior,Team / Tech Lead,15.000
155,Senior,Mobile Application Developer,30.000
156,Senior,Team / Tech Lead,16.000
157,Junior,Mobile Application Developer,8.000
159,Junior,Back-end Developer,9.000
160,Middle,Full Stack Developer,10.000
161,Senior,Back-end Developer,10.000
162,Middle,Data Analyst,40.000
163,Senior,Full Stack Developer,23.000
165,Middle,Full Stack Developer,10.000
166,Middle,Front-end Developer,9.000
167,Junior,Back-end Developer,17.000
168,Senior,Data Engineer,18.000
169,Junior,Front-end Developer,5.000
170,Senior,Front-end Developer,30.000
172,Junior,Back-end Developer,5.000
173,Senior,Team / Tech Lead,37.000
174,Junior,Front-end Developer,19.000
175,Middle,Mobile Application Developer,16.000
177,Junior,Mobile Application Developer,7.000
179,Junior,Back-end Developer,5.000
180,Junior,QA / Test Automation Developer,7.000
182,Senior,Front-end Developer,12.000
183,Senior,Full Stack Developer,7.000
184,Senior,CTO,25.000
185,Senior,Software Architect,15.000
186,Senior,Mobile Application Developer,35.000
187,Senior,Mobile Application Developer,19.000
188,Senior,Mobile Application Developer,23.000
189,Middle,Full Stack Developer,20.000
190,Middle,Mobile Application Developer,22.000
191,Junior,Full Stack Developer,10.000
192,Senior,Back-end Developer,17.000
193,Middle,Back-end Developer,10.000
194,Senior,Full Stack Developer,14.000
195,Middle,Full Stack Developer,13.000
197,Junior,Front-end Developer,6.000
199,Senior,Embedded Software Developer,15.000
200,Middle,Full Stack Developer,16.000
201,Senior,Front-end Developer,27.000
